27.02.2020 12:00:00;Карта сбербанка;Продукты;;965,31
14.03.2020 12:00:00;Карта сбербанка;Продукты;;119,98
17.05.2020 12:00:00;Карта сбербанка;Продукты;;817,94
02.06.2020 12:00:00;Карта сбербанка;Продукты;;458,92
21.08.2020 12:00:00;Карта сбербанка;Продукты;;591,00
24.07.2021 12:00:00;Карта сбербанка;Продукты;;621,79
03.04.2021 12:00:00;Карта сбербанка;Продукты;;219,78
18.03.2021 12:00:00;Карта сбербанка;Продукты;;650,73
29.01.2021 12:00:00;Карта сбербанка;Продукты;;130,22
23.10.2019 12:00:00;Карта сбербанка;Продукты;;228,00
27.01.2020 12:00:00;Карта сбербанка;Продукты;;801,30
12.02.2020 12:00:00;Карта сбербанка;Продукты;;434,71
28.02.2020 12:00:00;Карта сбербанка;Продукты;;668,60
16.04.2020 12:00:00;Карта сбербанка;Продукты;;73,00
02.05.2020 12:00:00;Карта сбербанка;Продукты;;668,57
19.06.2020 12:00:00;Карта сбербанка;Продукты;;972,99
05.07.2020 12:00:00;Карта сбербанка;Продукты;;315,55
21.07.2020 12:00:00;Карта сбербанка;Продукты;;452,59
13.01.2021 12:00:00;Карта сбербанка;Продукты;;284,00
01.08.2021 12:00:00;Карта сбербанка;Продукты;;742,14
13.05.2021 12:00:00;Карта сбербанка;Продукты;;509,49
08.05.2021 12:00:00;Карта сбербанка;Ништяки;Монопод;700,00
26.03.2021 12:00:00;Карта сбербанка;Продукты;;192,16
10.03.2021 12:00:00;Карта сбербанка;Продукты;;41,78
21.01.2021 12:00:00;Карта сбербанка;Продукты;;257,88
06.04.2019 12:00:00;Карта сбербанка;Продукты;;787,86
13.09.2019 12:00:00;Карта сбербанка;Продукты;;193,50
19.01.2020 12:00:00;Карта сбербанка;Продукты;;1 270,08
04.02.2020 12:00:00;Карта сбербанка;Продукты;;308,00
07.03.2020 12:00:00;Карта сбербанка;Продукты;;216,68
26.05.2020 12:00:00;Карта сбербанка;Продукты;;497,95
11.06.2020 12:00:00;Карта сбербанка;Продукты;;374,00
27.06.2020 12:00:00;Карта сбербанка;Продукты;;736,83
14.08.2020 12:00:00;Карта сбербанка;Продукты;;240,00
15.09.2020 12:00:00;Карта сбербанка;Продукты;;1 105,57
14.11.2020 12:00:00;Карта сбербанка;Подарки;Картридж Свете;450,00
18.11.2020 12:00:00;Карта сбербанка;Продукты;;91,95
04.12.2020 12:00:00;Карта сбербанка;Продукты;;583,60
20.07.2019 12:00:00;Карта сбербанка;Стройматериалы на гараж;Утеплитель в яму;995,00
13.12.2019 12:00:00;Карта сбербанка;Ремонт авто;Резинка уплотнительная на тойоту;800,00
06.04.2019 12:00:00;Карта сбербанка;Ремонт авто;Доплата за прокладки выхлопа на тойоту;32,00
04.05.2019 12:34:07;Карта сбербанка;Продукты;Сыр;174,07
06.04.2019 12:00:00;Карта сбербанка;Ремонт авто;Прокладки выхлопа на тойоту;282,00
05.08.2019 12:00:00;Карта сбербанка;Продукты;Пятерочка;75,98
22.09.2019 12:00:00;Карта сбербанка;Продукты;Пятерочка;372,99
07.04.2019 12:00:00;Карта сбербанка;Продукты;Пятерочка;342,33
25.05.2019 12:00:00;Карта сбербанка;Продукты;Пятерочка;690,09
26.06.2019 12:00:00;Карта сбербанка;Продукты;Пятерочка;105,96
12.07.2019 12:00:00;Карта сбербанка;Продукты;Пятерочка;74,98
07.04.2019 12:00:00;Карта сбербанка;Продукты;Ещё раз пятерочка;87,98
01.05.2019 12:00:00;Карта сбербанка;Продукты;КБ;269,90
17.05.2019 12:00:00;Карта сбербанка;Продукты;КБ;324,86
20.07.2019 12:00:00;Карта сбербанка;Продукты;КБ;476,25
05.08.2019 12:00:00;Карта сбербанка;Продукты;КБ;455,44
22.09.2019 12:00:00;Карта сбербанка;Продукты;КБ;468,74
27.12.2019 12:00:00;Карта сбербанка;Продукты;КБ;1 129,08
07.04.2019 12:00:00;Карта сбербанка;Продукты;КБ;131,78
09.05.2019 12:00:00;Карта сбербанка;Продукты;КБ;210,00
26.06.2019 12:00:00;Карта сбербанка;Продукты;КБ;278,55
12.07.2019 12:00:00;Карта сбербанка;Продукты;КБ;172,66
20.08.2019 12:00:00;Карта сбербанка;Стройматериалы на гараж;Левша;189,00
30.09.2019 12:00:00;Карта сбербанка;Продукты;КБ;373,06
08.04.2019 16:59:08;МТСБанк;Разное хобби;Подстригся;200,00
25.12.2020 0:00:00;Карта сбербанка;Продукты;;2 556,39
10.09.2019 0:00:00;Карта сбербанка;Продукты;;76,00
17.02.2020 0:00:00;Карта сбербанка;Продукты;;102,60
27.09.2020 12:00:00;Деньги в столе;Продукты;Арбуз;200,00
08.04.2019 16:59:08;Карта сбербанка;Стройматериалы на гараж;;280,00
08.04.2019 16:59:08;Карта сбербанка;Продукты;КБ;185,98
08.04.2019 16:59:08;Карта сбербанка;Продукты;Смак;106,59
10.04.2019 12:00:00;Карта сбербанка;Продукты;Монетка;537,31
08.10.2021 12:00:00;Карта сбербанка;Ништяки;Держатель за телефона за 350 ну и напильник;682,00
10.04.2019 12:00:00;Карта сбербанка;Продукты;Колбаса;335,10
10.04.2019 12:00:00;Карта сбербанка;Продукты;Филе;550,50
10.04.2019 12:00:00;Карта сбербанка;Хозтовары;Валера = );360,00
10.04.2019 12:00:00;Карта сбербанка;Хозтовары;Галамарт;641,00
10.08.2020 12:00:00;Карта сбербанка;КомунальныеПлатежи;Комиссия за перевод;42,35
